"Reference","Qty","Value","Exclude from BOM","LCSC"
"C14,C15","2","18p","","C53084486"
"C1,C2,C5,C6,C7,C9,C10,C11,C13,C16,C21,C22,C26,C30","14","100nf","","C49678"
"C8,C12,C18,C19,C23,C24,C27,C28","8","1uf","","C28323"
"C3,C4","2","2.2uf","","C19110"
"CBulk1","1","4.7uf","","C98192"
"C17","1","10u","","C98192"
"C20,C25,C29","3","47uf","","C16780"
"Y1","1","8mhz","","C49158084"
"R3","1","1kr","","C95781"
"CAN_IN1,CAN_OUT1,PowerIn1","3","2 pin Molex","","C17644051"
"R7,R8","2","5.1kr","","C27834"
"R1","1","10kr","","C84376"
"R2,R5,R9,R10","4","100kr","","C96346"
"R6","1","120r","","C114245"
"R4","1","330r","","C17630"
"Cam1,Cam2,Cam3","3","Conn_01x03","","C131339"
"D2,D3","2","D_Schottky","","C113936"
"FB1","1","FerriteBead","","C85840"
"U2","1","LDL1117-3.3","","C435835"
"J1","1","Microsemi_FlashPro-JTAG-10","","C588426"
"D1","1","NeoPixel_THT","","C2827321"
"PowerLED1","1","RLED","","C965799"
"BootSwitch1,RSTSwitch1","2","SAMZO G4R0015010","","C49393646"
"U4","1","SN65HVD230","","C1543812"
"JP1","1","SolderJumper_2_Open","Excluded from BOM",""
"D4","1","SRV05-4.TCT","","C13612"
"U1","1","STM32F405RGT6","","C15742"
"U3,U5,U6","3","TPS22917DBVR","","C2681320"
"J3","1","USB_C_Receptacle_USB2.0_16P","","C165948"
"J_BUCK_IN_A1,J_BUCK_IN_B1,J_BUCK_OUT_A1,J_BUCK_OUT_B1","4","~","Excluded from BOM",""
